Type,Floor Area,Address,Price,Currency,Description,Datetime,Prepayment,Links,Utilities
Garage,15 sq.m.,"Улица Ереванян 10, Раздан","20,000 ֏",AMD,"Дается в аренду гараж, в отличном состоянии. Функционал выполняет отлично, ничего не пропускает. Для связи пишите только реальные арендаторы!",Nov-24-2022_16-42,,https://list.am/en/item/18212634,
Garage,24 sq.m.,"Kentron block 63a, Hrazdan","$4,000",USD,"Urgent garage for sale in the central district of Hrazdan, it is thermally insulated.Translated from Armenian",Nov-24-2022_16-42,Without prepayment,https://list.am/en/item/17554946,
Parking Space,1500 sq.m.,Kotayk › Jrvezh,"100,000 ֏",AMD,"1500 square meters, fenced flat land on the first line is for rent in Jrvezh.It can be used as a parking place for vans. Parking, parking lot, parking lot, stayanka, auto, autoTranslated from Armenian",Nov-24-2022_16-42,,https://list.am/en/item/18069929,
Garage,60 sq.m.,Kotayk › Hrazdan,"$12,000",USD,"2 stone garages for sale, also for rent. Call for details.Translated from Armenian",Nov-24-2022_16-42,,https://list.am/en/item/18299711,
Garage,22 sq.m.,"Hatis street, Abovyan","$7,300",USD,"Garage for sale, dimensions 3.2 × 6.922 sq / m. Sep Certificate in front of Abovyan 3m / sh 3 building. Price is negotiable.Translated from Armenian",Nov-24-2022_16-42,,https://list.am/en/item/17159189,
Garage,82 sq.m.,Kotayk › Proshyan,"200,000 ֏",AMD,"Car service. For rent, with all the amenities or at your request. There is a car lift.Translated from Armenian",Nov-24-2022_16-43,,https://list.am/en/item/17126957,
Garage,90 sq.m.,Kotayk › Charentsavan,"30,000 ֏",AMD,It is provided with drinking waterTranslated from Armenian,Nov-24-2022_16-43,,https://list.am/en/item/18053553,
Garage,30 sq.m.,Kotayk › Hrazdan,"10,000 ֏",AMD,"A panel garage is for rent in the back of building 208, Hrazdan microdistrict.Translated from Armenian",Nov-27-2022_16-29,By Agreement,https://list.am/en/item/18592674,
Garage,25 sq.m.,"Arinj 1st St., Առինջ գյուղ","30,000 ֏",AMD,"Stone garage, good dry condition. The monthly fee is 30,000 and there is also a power supplyGarageGarageFor rentGarage:Translated from Armenian",Nov-27-2022_16-29,By Agreement,https://list.am/en/item/18433718,
Garage,50 sq.m.,"8-я улица квартала Паруйр Севак 25, Ариндж","80,000 ֏",AMD,"Available for rent, call for questionsTranslated from Armenian",Nov-27-2022_16-29,By Agreement,https://list.am/en/item/18605565,"ELectricity, water"
Garage,30 sq.m.,"Barekamutian street, Abovyan","20,000 ֏",AMD,Տրվու է վարձով ավտոտնակՄանրամասների համար զանգահարել,Nov-27-2022_16-29,,https://list.am/en/item/18414711,
Parking Space,1200 sq.m.,Kotayk › Abovian,"1,500,000 ֏",AMD,Closed parking for about 100 + carsProduction areaArea for rentTranslated from Armenian,Nov-27-2022_16-29,6 months,https://list.am/en/item/17444144,
Garage,32 sq.m.,"Միկրոշրջան թաղամաս 109, Հրազդան","25,000 ֏",AMD,"Մեծ ավտոտնակ 7,5×4,5։Ունի բոքս։Գրել mail, viber",Nov-27-2022_16-29,By Agreement,https://list.am/en/item/18459433,
Garage,24 sq.m.,"9-րդ փողոց 125, Զովունի","15,000 ֏",AMD,"Garage in Zovuni, (next to building 125, 9th Street, 24m square area.Will be released at the end of November.Long term, minimum 6 months, 2 months depositTranslated from Armenian",Nov-27-2022_16-29,,https://list.am/en/item/18491568,
Garage,11 sq.m.,"4th microdistrict, Abovyan","20,000 ֏",AMD,A garage with a garage is for sale in the 4th microdistrict behind building 72Translated from Armenian,Nov-27-2022_16-29,By Agreement,https://list.am/en/item/18603489,ELectricity
Garage,25 sq.m.,Kotayk › Abovian,"40,000 ֏",AMD,"It is located in the back of the Abovyan supermarket, has a basement and all facilities.Translated from Armenian",Nov-27-2022_16-29,,https://list.am/en/item/18534572,
Garage,40 sq.m.,"Jrvezh 4-th street, Yerevan","25,000 ֏",AMD,A stone greenhouse is also suitable for activities.Translated from Armenian,Nov-27-2022_16-29,,https://list.am/en/item/18385407,
Garage,18 sq.m.,"Banavan 8, Garni",$600,USD,"I will exchange 18 square meters for building materials, negotiable.Translated from Armenian",Nov-27-2022_16-29,,https://list.am/en/item/17787687,
Garage,25 sq.m.,"Kentron block 6, Hrazdan","20,000 ֏",AMD,"The garage is iron, it is located in Kentron district.Translated from Armenian",Nov-27-2022_16-29,,https://list.am/en/item/18405622,
